ClassificationMethod,EmbeddingMethod,Predictors,Time,FilterStopwords,ConvertLower,FilterNumbers,FilterMinAppear,Accuracy,Precision,Recall,Specificity
FDA,TF-IDF,731,NA,No,No,No,60,NA,NA,NA,NA
Tree,TF-IDF,731,NA,No,No,No,60,NA,NA,NA,NA
RF,TF-IDF,731,NA,No,No,No,60,NA,NA,NA,NA
LogisticRegression,BagOfWords,14335,234336.8448,Yes,Yes,Yes,0,0.4948,0.4963,0.4678,0.522
LDA,BagOfWords,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
QDA,BagOfWords,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
MDA,BagOfWords,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
FDA,BagOfWords,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
Tree,BagOfWords,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
RF,BagOfWords,14335,NA,Yes,Yes,Yes,0,NA,NA,NA,NA
LogisticRegression,BagOfWords,4298,27205.6644,Yes,Yes,Yes,5,0.5738,0.5776,0.559,0.5886
LDA,BagOfWords,4298,1987.4886,Yes,Yes,Yes,5,0.5686,0.5738,0.544,0.5933
QDA,BagOfWords,4298,NA,Yes,Yes,Yes,5,NA,NA,NA,NA
MDA,BagOfWords,4298,NA,Yes,Yes,Yes,5,NA,NA,NA,NA
FDA,BagOfWords,4298,NA,Yes,Yes,Yes,5,NA,NA,NA,NA
Tree,BagOfWords,4298,NA,Yes,Yes,Yes,5,NA,NA,NA,NA
RF,BagOfWords,4298,NA,Yes,Yes,Yes,5,NA,NA,NA,NA
LogisticRegression,BagOfWords,899,304.00428,Yes,Yes,Yes,30,0.6051,0.6027,0.596,0.614
LDA,BagOfWords,899,113.4243,Yes,Yes,Yes,30,0.6057,0.6035,0.596,0.6152
QDA,BagOfWords,899,NA,Yes,Yes,Yes,30,NA,NA,NA,NA
MDA,BagOfWords,899,NA,Yes,Yes,Yes,30,NA,NA,NA,NA
FDA,BagOfWords,899,NA,Yes,Yes,Yes,30,NA,NA,NA,NA
Tree,BagOfWords,899,NA,Yes,Yes,Yes,30,NA,NA,NA,NA
RF,BagOfWords,899,NA,Yes,Yes,Yes,30,NA,NA,NA,NA
LogisticRegression,BagOfWords,413,58.64685,Yes,Yes,Yes,60,0.6153,0.6074,0.6111,0.6194
LDA,BagOfWords,413,30.34303,Yes,Yes,Yes,60,0.615,0.6071,0.6105,0.6194
QDA,BagOfWords,413,15.80656,Yes,Yes,Yes,60,0.5866,0.5696,0.6452,0.5302
MDA,BagOfWords,413,226.3047,Yes,Yes,Yes,60,0.6114,0.6002,0.6233,0.6
FDA,BagOfWords,413,NA,Yes,Yes,Yes,60,NA,NA,NA,NA
Tree,BagOfWords,413,33.57098,Yes,Yes,Yes,60,0.5281,0.6153,0.1023,0.9384
RF,BagOfWords,413,152679.168,Yes,Yes,Yes,60,0.6192,0.6294,0.5447,0.6909
LogisticRegression,BagOfWords,15124,301240.6848,Yes,Yes,No,0,0.4997,0.5014,0.4977,0.5017
LDA,BagOfWords,15124,NA,Yes,Yes,No,0,NA,NA,NA,NA
QDA,BagOfWords,15124,NA,Yes,Yes,No,0,NA,NA,NA,NA
MDA,BagOfWords,15124,NA,Yes,Yes,No,0,NA,NA,NA,NA
FDA,BagOfWords,15124,NA,Yes,Yes,No,0,NA,NA,NA,NA
Tree,BagOfWords,15124,NA,Yes,Yes,No,0,NA,NA,NA,NA
RF,BagOfWords,15124,NA,Yes,Yes,No,0,NA,NA,NA,NA
LogisticRegression,BagOfWords,4515,21670.3728,Yes,Yes,No,5,0.57,0.5679,0.555,0.5848
LDA,BagOfWords,4515,2207.214,Yes,Yes,No,5,0.5778,0.576,0.5626,0.5928
QDA,BagOfWords,4515,NA,Yes,Yes,No,5,NA,NA,NA,NA
MDA,BagOfWords,4515,NA,Yes,Yes,No,5,NA,NA,NA,NA
FDA,BagOfWords,4515,NA,Yes,Yes,No,5,NA,NA,NA,NA
Tree,BagOfWords,4515,NA,Yes,Yes,No,5,NA,NA,NA,NA
RF,BagOfWords,4515,NA,Yes,Yes,No,5,NA,NA,NA,NA
LogisticRegression,BagOfWords,969,526.5894,Yes,Yes,No,30,0.6189,0.6155,0.6277,0.6101
LDA,BagOfWords,969,131.82594,Yes,Yes,No,30,0.62,0.6165,0.6295,0.6107
QDA,BagOfWords,969,NA,Yes,Yes,No,30,NA,NA,NA,NA
MDA,BagOfWords,969,NA,Yes,Yes,No,30,NA,NA,NA,NA
FDA,BagOfWords,969,NA,Yes,Yes,No,30,NA,NA,NA,NA
Tree,BagOfWords,969,NA,Yes,Yes,No,30,NA,NA,NA,NA
RF,BagOfWords,969,NA,Yes,Yes,No,30,NA,NA,NA,NA
LogisticRegression,BagOfWords,456,68.7897,Yes,Yes,No,60,0.5979,0.5797,0.6068,0.5896
LDA,BagOfWords,456,35.67127,Yes,Yes,No,60,0.6005,0.5818,0.6129,0.589
QDA,BagOfWords,456,18.79312,Yes,Yes,No,60,0.5646,0.543,0.6178,0.5149
MDA,BagOfWords,456,271.1775,Yes,Yes,No,60,0.6023,0.5838,0.6129,0.5924
FDA,BagOfWords,456,NA,Yes,Yes,No,60,NA,NA,NA,NA
Tree,BagOfWords,456,NA,Yes,Yes,No,60,NA,NA,NA,NA
RF,BagOfWords,456,NA,Yes,Yes,No,60,NA,NA,NA,NA
LogisticRegression,BagOfWords,16862,NA,Yes,No,Yes,0,NA,NA,NA,NA
LDA,BagOfWords,16862,NA,Yes,No,Yes,0,NA,NA,NA,NA
QDA,BagOfWords,16862,NA,Yes,No,Yes,0,NA,NA,NA,NA
MDA,BagOfWords,16862,NA,Yes,No,Yes,0,NA,NA,NA,NA
FDA,BagOfWords,16862,NA,Yes,No,Yes,0,NA,NA,NA,NA
Tree,BagOfWords,16862,NA,Yes,No,Yes,0,NA,NA,NA,NA
RF,BagOfWords,16862,NA,Yes,No,Yes,0,NA,NA,NA,NA
LogisticRegression,BagOfWords,4683,43490.484,Yes,No,Yes,5,0.5805,0.5874,0.5864,0.5745
LDA,BagOfWords,4683,2870.5914,Yes,No,Yes,5,0.5762,0.5868,0.5608,0.5921
QDA,BagOfWords,4683,NA,Yes,No,Yes,5,NA,NA,NA,NA
MDA,BagOfWords,4683,NA,Yes,No,Yes,5,NA,NA,NA,NA
FDA,BagOfWords,4683,NA,Yes,No,Yes,5,NA,NA,NA,NA
Tree,BagOfWords,4683,NA,Yes,No,Yes,5,NA,NA,NA,NA
RF,BagOfWords,4683,NA,Yes,No,Yes,5,NA,NA,NA,NA
LogisticRegression,BagOfWords,960,773.3754,Yes,No,Yes,30,0.6078,0.5978,0.5936,0.6213
LDA,BagOfWords,960,160.11858,Yes,No,Yes,30,0.6078,0.5975,0.5954,0.6196
QDA,BagOfWords,960,NA,Yes,No,Yes,30,NA,NA,NA,NA
MDA,BagOfWords,960,NA,Yes,No,Yes,30,NA,NA,NA,NA
FDA,BagOfWords,960,NA,Yes,No,Yes,30,NA,NA,NA,NA
Tree,BagOfWords,960,NA,Yes,No,Yes,30,NA,NA,NA,NA
RF,BagOfWords,960,NA,Yes,No,Yes,30,NA,NA,NA,NA
LogisticRegression,BagOfWords,444,66.3048,Yes,No,Yes,60,0.603,0.6036,0.5975,0.6084
LDA,BagOfWords,444,35.01924,Yes,No,Yes,60,0.6053,0.6062,0.5987,0.612
QDA,BagOfWords,444,NA,Yes,No,Yes,60,NA,NA,NA,NA
MDA,BagOfWords,444,NA,Yes,No,Yes,60,NA,NA,NA,NA
FDA,BagOfWords,444,NA,Yes,No,Yes,60,NA,NA,NA,NA
Tree,BagOfWords,444,39.47618,Yes,No,Yes,60,0.5496,0.579,0.3596,0.7392
RF,BagOfWords,444,158011.776,Yes,No,Yes,60,0.6103,0.6293,0.5347,0.6858
LogisticRegression,BagOfWords,17650,NA,Yes,No,No,0,NA,NA,NA,NA
LDA,BagOfWords,17650,NA,Yes,No,No,0,NA,NA,NA,NA
QDA,BagOfWords,17650,NA,Yes,No,No,0,NA,NA,NA,NA
MDA,BagOfWords,17650,NA,Yes,No,No,0,NA,NA,NA,NA
FDA,BagOfWords,17650,NA,Yes,No,No,0,NA,NA,NA,NA
Tree,BagOfWords,17650,NA,Yes,No,No,0,NA,NA,NA,NA
RF,BagOfWords,17650,NA,Yes,No,No,0,NA,NA,NA,NA
